code,prefix,id
00,-,0
FWC1,FWC,1
FWC2,FWC,2
FWC3,FWC,3
FWC4,FWC,4
FWC5,FWC,5
FWC6,FWC,6
FWC7,FWC,7
FWC8,FWC,8
FWC9,FWC,9
FWC10,FWC,10
FWC11,FWC,11
FWC12,FWC,12
FWC13,FWC,13
FWC14,FWC,14
FWC15,FWC,15
FWC16,FWC,16
FWC17,FWC,17
FWC18,FWC,18
FWC19,FWC,19
FWC20,FWC,20
FWC21,FWC,21
FWC22,FWC,22
FWC23,FWC,23
FWC24,FWC,24
FWC25,FWC,25
FWC26,FWC,26
FWC27,FWC,27
FWC28,FWC,28
FWC29,FWC,29
QAT1,QAT,1
QAT2,QAT,2
QAT3,QAT,3
QAT4,QAT,4
QAT5,QAT,5
QAT6,QAT,6
QAT7,QAT,7
QAT8,QAT,8
QAT9,QAT,9
QAT10,QAT,10
QAT11,QAT,11
QAT12,QAT,12
QAT13,QAT,13
QAT14,QAT,14
QAT15,QAT,15
QAT16,QAT,16
QAT17,QAT,17
QAT18,QAT,18
QAT19,QAT,19
QAT20,QAT,20
ECU1,ECU,1
ECU2,ECU,2
ECU3,ECU,3
ECU4,ECU,4
ECU5,ECU,5
ECU6,ECU,6
ECU7,ECU,7
ECU8,ECU,8
ECU9,ECU,9
ECU10,ECU,10
ECU11,ECU,11
ECU12,ECU,12
ECU13,ECU,13
ECU14,ECU,14
ECU15,ECU,15
ECU16,ECU,16
ECU17,ECU,17
ECU18,ECU,18
ECU19,ECU,19
ECU20,ECU,20
SEN1,SEN,1
SEN2,SEN,2
SEN3,SEN,3
SEN4,SEN,4
SEN5,SEN,5
SEN6,SEN,6
SEN7,SEN,7
SEN8,SEN,8
SEN9,SEN,9
SEN10,SEN,10
SEN11,SEN,11
SEN12,SEN,12
SEN13,SEN,13
SEN14,SEN,14
SEN15,SEN,15
SEN16,SEN,16
SEN17,SEN,17
SEN18,SEN,18
SEN19,SEN,19
SEN20,SEN,20
NED1,NED,1
NED2,NED,2
NED3,NED,3
NED4,NED,4
NED5,NED,5
NED6,NED,6
NED7,NED,7
NED8,NED,8
NED9,NED,9
NED10,NED,10
NED11,NED,11
NED12,NED,12
NED13,NED,13
NED14,NED,14
NED15,NED,15
NED16,NED,16
NED17,NED,17
NED18,NED,18
NED19,NED,19
NED20,NED,20
ENG1,ENG,1
ENG2,ENG,2
ENG3,ENG,3
ENG4,ENG,4
ENG5,ENG,5
ENG6,ENG,6
ENG7,ENG,7
ENG8,ENG,8
ENG9,ENG,9
ENG10,ENG,10
ENG11,ENG,11
ENG12,ENG,12
ENG13,ENG,13
ENG14,ENG,14
ENG15,ENG,15
ENG16,ENG,16
ENG17,ENG,17
ENG18,ENG,18
ENG19,ENG,19
ENG20,ENG,20
IRN1,IRN,1
IRN2,IRN,2
IRN3,IRN,3
IRN4,IRN,4
IRN5,IRN,5
IRN6,IRN,6
IRN7,IRN,7
IRN8,IRN,8
IRN9,IRN,9
IRN10,IRN,10
IRN11,IRN,11
IRN12,IRN,12
IRN13,IRN,13
IRN14,IRN,14
IRN15,IRN,15
IRN16,IRN,16
IRN17,IRN,17
IRN18,IRN,18
IRN19,IRN,19
IRN20,IRN,20
USA1,USA,1
USA2,USA,2
USA3,USA,3
USA4,USA,4
USA5,USA,5
