code,prefix,id,quantity
00,-,0
FWC1,FWC,1,1
FWC2,FWC,2,1
FWC3,FWC,3,1
FWC4,FWC,4,1
FWC5,FWC,5,1
FWC6,FWC,6,1
FWC7,FWC,7,1
FWC8,FWC,8,1
FWC9,FWC,9,1
FWC10,FWC,10,1
FWC11,FWC,11,1
FWC12,FWC,12,1
FWC13,FWC,13,1
FWC14,FWC,14,1
FWC15,FWC,15,1
FWC16,FWC,16,1
FWC17,FWC,17,1
FWC18,FWC,18,1
FWC19,FWC,19,1
FWC20,FWC,20,1
FWC21,FWC,21,1
FWC22,FWC,22,1
FWC23,FWC,23,1
FWC24,FWC,24,1
FWC25,FWC,25,1
FWC26,FWC,26,1
FWC27,FWC,27,1
FWC28,FWC,28,1
FWC29,FWC,29,1
QAT1,QAT,1,1
QAT2,QAT,2,1
QAT3,QAT,3,1
QAT4,QAT,4,1
QAT5,QAT,5,1
QAT6,QAT,6,1
QAT7,QAT,7,1
QAT8,QAT,8,1
QAT9,QAT,9,1
QAT10,QAT,10,1
QAT11,QAT,11,1
QAT12,QAT,12,1
QAT13,QAT,13,1
QAT14,QAT,14,1
QAT15,QAT,15,1
QAT16,QAT,16,1
QAT17,QAT,17,1
QAT18,QAT,18,1
QAT19,QAT,19,1
QAT20,QAT,20,1
ECU1,ECU,1,1
ECU2,ECU,2,1
ECU3,ECU,3,1
ECU4,ECU,4,1
ECU5,ECU,5,1
ECU6,ECU,6,1
ECU7,ECU,7,1
ECU8,ECU,8,1
ECU9,ECU,9,1
ECU10,ECU,10,1
ECU11,ECU,11,1
ECU12,ECU,12,1
ECU13,ECU,13,1
ECU14,ECU,14,1
ECU15,ECU,15,1
ECU16,ECU,16,1
ECU17,ECU,17,1
ECU18,ECU,18,1
ECU19,ECU,19,1
ECU20,ECU,20,1
SEN1,SEN,1,1
SEN2,SEN,2,1
SEN3,SEN,3,1
SEN4,SEN,4,1
SEN5,SEN,5,1
SEN6,SEN,6,1
SEN7,SEN,7,1
SEN8,SEN,8,1
SEN9,SEN,9,1
SEN10,SEN,10,1
SEN11,SEN,11,1
SEN12,SEN,12,1
SEN13,SEN,13,1
SEN14,SEN,14,1
SEN15,SEN,15,1
SEN16,SEN,16,1
SEN17,SEN,17,1
SEN18,SEN,18,1
SEN19,SEN,19,1
SEN20,SEN,20,1
NED1,NED,1,1
NED2,NED,2,1
NED3,NED,3,1
NED4,NED,4,1
NED5,NED,5,1
NED6,NED,6,1
NED7,NED,7,1
NED8,NED,8,1
NED9,NED,9,1
NED10,NED,10,1
NED11,NED,11,1
NED12,NED,12,1
NED13,NED,13,1
NED14,NED,14,1
NED15,NED,15,1
NED16,NED,16,1
NED17,NED,17,1
NED18,NED,18,1
NED19,NED,19,1
NED20,NED,20,1
ENG1,ENG,1,1
ENG2,ENG,2,1
ENG3,ENG,3,1
ENG4,ENG,4,1
ENG5,ENG,5,1
ENG6,ENG,6,1
ENG7,ENG,7,1
ENG8,ENG,8,1
ENG9,ENG,9,1
ENG10,ENG,10,1
ENG11,ENG,11,1
ENG12,ENG,12,1
ENG13,ENG,13,1
ENG14,ENG,14,1
ENG15,ENG,15,1
ENG16,ENG,16,1
ENG17,ENG,17,1
ENG18,ENG,18,1
ENG19,ENG,19,1
ENG20,ENG,20,1
IRN1,IRN,1,1
IRN2,IRN,2,1
IRN3,IRN,3,1
IRN4,IRN,4,1
IRN5,IRN,5,1
IRN6,IRN,6,1
IRN7,IRN,7,1
IRN8,IRN,8,1
IRN9,IRN,9,1
IRN10,IRN,10,1
IRN11,IRN,11,1
IRN12,IRN,12,1
IRN13,IRN,13,1
IRN14,IRN,14,1
IRN15,IRN,15,1
IRN16,IRN,16,1
IRN17,IRN,17,1
IRN18,IRN,18,1
IRN19,IRN,19,1
IRN20,IRN,20,1
USA1,USA,1,1
USA2,USA,2,1
USA3,USA,3,1
USA4,USA,4,1
USA5,USA,5,1
USA6,USA,6,1
USA7,USA,7,1
USA8,USA,8,1
USA9,USA,9,1
USA10,USA,10,1
USA11,USA,11,1
USA12,USA,12,1
USA13,USA,13,1
USA14,USA,14,1
USA15,USA,15,1
USA16,USA,16,1
USA17,USA,17,1
USA18,USA,18,1
USA19,USA,19,1
USA20,USA,20,1
WAL1,WAL,1,1
WAL2,WAL,2,1
WAL3,WAL,3,1
WAL4,WAL,4,1
WAL5,WAL,5,1
WAL6,WAL,6,1
WAL7,WAL,7,1
WAL8,WAL,8,1
WAL9,WAL,9,1
WAL10,WAL,10,1
WAL11,WAL,11,1
WAL12,WAL,12,1
WAL13,WAL,13,1
WAL14,WAL,14,1
WAL15,WAL,15,1
WAL16,WAL,16,1
WAL17,WAL,17,1
WAL18,WAL,18,1
WAL19,WAL,19,1
WAL20,WAL,20,1
ARG1,ARG,1,1
ARG2,ARG,2,1
ARG3,ARG,3,1
ARG4,ARG,4,1
ARG5,ARG,5,1
ARG6,ARG,6,1
ARG7,ARG,7,1
ARG8,ARG,8,1
ARG9,ARG,9,1
ARG10,ARG,10,1
ARG11,ARG,11,1
ARG12,ARG,12,1
ARG13,ARG,13,1
ARG14,ARG,14,1
ARG15,ARG,15,1
ARG16,ARG,16,1
ARG17,ARG,17,1
